slot,section,question,format,answer
1,VARC,1,mcq,A
1,VARC,2,mcq,A
1,VARC,3,mcq,B
1,VARC,4,mcq,B
1,VARC,5,mcq,A
1,VARC,6,mcq,C
1,VARC,7,mcq,A
1,VARC,8,mcq,B
1,VARC,9,mcq,D
1,VARC,10,mcq,B
1,VARC,11,mcq,A
1,VARC,12,mcq,D
1,VARC,13,mcq,A
1,VARC,14,mcq,B
1,VARC,15,mcq,C
1,VARC,16,mcq,B
1,VARC,17,mcq,A
1,VARC,18,mcq,D
1,VARC,19,mcq,D
1,VARC,20,mcq,A
1,VARC,21,mcq,C
1,VARC,22,mcq,D
1,VARC,23,mcq,A
1,VARC,24,mcq,C
1,VARC,25,tita,1324
1,VARC,26,tita,2
1,VARC,27,tita,1432
1,VARC,28,mcq,A
1,VARC,29,mcq,A
1,VARC,30,mcq,C
1,VARC,31,tita,2413
1,VARC,32,tita,4
1,VARC,33,tita,5
1,VARC,34,tita,4213
1,DILR,1,mcq,D
1,DILR,2,mcq,A
1,DILR,3,tita,13
1,DILR,4,tita,14
1,DILR,5,mcq,D
1,DILR,6,mcq,C
1,DILR,7,mcq,D
1,DILR,8,mcq,B
1,DILR,9,tita,4
1,DILR,10,tita,4
1,DILR,11,mcq,A
1,DILR,12,mcq,A
1,DILR,13,mcq,B
1,DILR,14,mcq,C
1,DILR,15,mcq,C
1,DILR,16,mcq,C
1,DILR,17,tita,7
1,DILR,18,tita,6
1,DILR,19,mcq,C
1,DILR,20,mcq,D
1,DILR,21,mcq,C
1,DILR,22,mcq,A
1,DILR,23,mcq,C
1,DILR,24,mcq,A
1,DILR,25,mcq,C
1,DILR,26,mcq,C
1,DILR,27,mcq,C
1,DILR,28,mcq,B
1,DILR,29,mcq,B
1,DILR,30,tita,4
1,DILR,31,tita,3
1,DILR,32,mcq,C
1,QA,1,mcq,A
1,QA,2,mcq,C
1,QA,3,tita,54
1,QA,4,mcq,D
1,QA,5,tita,60
1,QA,6,mcq,B
1,QA,7,mcq,D
1,QA,8,mcq,C
1,QA,9,mcq,B
1,QA,10,tita,40
1,QA,11,mcq,B
1,QA,12,mcq,B
1,QA,13,tita,198
1,QA,14,tita,502
1,QA,15,tita,121000
1,QA,16,mcq,D
1,QA,17,tita,12
1,QA,18,mcq,D
1,QA,19,mcq,D
1,QA,20,mcq,D
1,QA,21,tita,5
1,QA,22,tita,52
1,QA,23,tita,15
1,QA,24,mcq,A
1,QA,25,mcq,D
1,QA,26,mcq,D
1,QA,27,mcq,B
1,QA,28,mcq,B
1,QA,29,mcq,C
1,QA,30,mcq,A
1,QA,31,tita,10
1,QA,32,mcq,D
1,QA,33,tita,32
1,QA,34,mcq,D
2,VARC,1,mcq,A
2,VARC,2,mcq,A
2,VARC,3,mcq,A
2,VARC,4,mcq,B
2,VARC,5,mcq,D
2,VARC,6,mcq,D
2,VARC,7,mcq,C
2,VARC,8,mcq,C
2,VARC,9,mcq,C
2,VARC,10,mcq,B
2,VARC,11,mcq,A
2,VARC,12,mcq,B
2,VARC,13,mcq,D
2,VARC,14,mcq,D
2,VARC,15,mcq,D
2,VARC,16,mcq,D
2,VARC,17,mcq,D
2,VARC,18,mcq,B
2,VARC,19,mcq,C
2,VARC,20,mcq,A
2,VARC,21,mcq,B
2,VARC,22,mcq,C
2,VARC,23,mcq,D
2,VARC,24,mcq,A
2,VARC,25,tita,3
2,VARC,26,tita,3241
2,VARC,27,mcq,C
2,VARC,28,tita,3241
2,VARC,29,tita,3
2,VARC,30,tita,2314
2,VARC,31,mcq,C
2,VARC,32,tita,4213
2,VARC,33,tita,3
2,VARC,34,mcq,D
2,DILR,1,tita,1200
2,DILR,2,mcq,B
2,DILR,3,tita,240
2,DILR,4,mcq,D
2,DILR,5,mcq,D
2,DILR,6,tita,3
2,DILR,7,tita,0
2,DILR,8,mcq,D
2,DILR,9,mcq,D
2,DILR,10,tita,3
2,DILR,11,tita,48
2,DILR,12,mcq,A
2,DILR,13,tita,4
2,DILR,14,mcq,C
2,DILR,15,tita,2
2,DILR,16,mcq,A
2,DILR,17,mcq,A
2,DILR,18,mcq,A
2,DILR,19,mcq,B
2,DILR,20,mcq,C
2,DILR,21,mcq,B
2,DILR,22,mcq,A
2,DILR,23,mcq,B
2,DILR,24,mcq,C
2,DILR,25,mcq,A
2,DILR,26,mcq,D
2,DILR,27,mcq,A
2,DILR,28,mcq,A
2,DILR,29,mcq,C
2,DILR,30,mcq,C
2,DILR,31,mcq,A
2,DILR,32,mcq,A
2,QA,1,mcq,A
2,QA,2,mcq,D
2,QA,3,mcq,B
2,QA,4,tita,24
2,QA,5,tita,24
2,QA,6,mcq,D
2,QA,7,tita,10
2,QA,8,mcq,B
2,QA,9,mcq,C
2,QA,10,tita,1098
2,QA,11,mcq,A
2,QA,12,mcq,C
2,QA,13,mcq,B
2,QA,14,tita,8
2,QA,15,mcq,A
2,QA,16,mcq,A
2,QA,17,tita,50
2,QA,18,mcq,A
2,QA,19,mcq,D
2,QA,20,tita,5
2,QA,21,mcq,B
2,QA,22,mcq,C
2,QA,23,tita,36
2,QA,24,mcq,B
2,QA,25,mcq,C
2,QA,26,mcq,D
2,QA,27,tita,48
2,QA,28,tita,4000
2,QA,29,tita,105
2,QA,30,tita,20
2,QA,31,mcq,A
2,QA,32,mcq,B
2,QA,33,mcq,A
2,QA,34,mcq,B
