type,topic,subtopic,difficulty,format,passage_ref,body,image,option_a,option_b,option_c,option_d,correct,numeric_answer,tolerance,explanation,source
verbal,Reading Comprehension,,,passage,rc-elephants-2018,"“Everybody pretty much agrees that the relationship between elephants and people has dramatically changed,” says psychologist Gay Bradshaw. “Where for centuries humans and elephants lived in relatively peaceful coexistence, there is now hostility and violence. Now, I use the term ‘violence’ because of the intentionality associated with it, both in the aggression of humans and, at times, the recently observed behavior of elephants.”

Typically, elephant researchers have cited, as a cause of aggression, the high levels of testosterone in newly matured male elephants or the competition for land and resources between elephants and humans. But Bradshaw and several colleagues argue that today’s elephant populations are suffering from a form of chronic stress, a kind of species-wide trauma. Decades of poaching and culling and habitat loss, they claim, have so disrupted the intricate web of familial and societal relations by which young elephants have traditionally been raised in the wild, and by which established elephant herds are governed, that what we are now witnessing is nothing less than a precipitous collapse of elephant culture.

Elephants, when left to their own devices, are profoundly social creatures. Young elephants are raised within an extended, multitiered network of doting female caregivers that includes the birth mother, grandmothers, aunts and friends. These relations are maintained over a life span as long as 70 years. Studies of established herds have shown that young elephants stay within 15 feet of their mothers for nearly all of their first eight years of life, after which young females are socialized into the matriarchal network, while young males go off for a time into an all-male social group before coming back into the fold as mature adults.

This fabric of elephant society, Bradshaw and her colleagues demonstrate, has effectively been frayed by years of habitat loss and poaching, along with systematic culling by government agencies to control elephant numbers and translocations of herds to different habitats. As a result of such social upheaval, calves are now being born to and raised by ever younger and inexperienced mothers. Young orphaned elephants, meanwhile, that have witnessed the death of a parent at the hands of poachers are coming of age in the absence of the support system that defines traditional elephant life. “The loss of elephant elders,” says Bradshaw, “and the traumatic experience of witnessing the massacres of their family, impairs normal brain and behavior development in young elephants.”",,,,,,,,,,CAT 2018 Slot 1
verbal,Reading Comprehension,Detail and Inference,medium,mcq,rc-elephants-2018,The passage makes all of the following claims EXCEPT:,,Elephant mothers are evolving newer ways of rearing their calves to adapt to emerging threats.,The elephant response to deeply disturbing experiences is similar to that of humans.,Human actions such as poaching and culling have created stressful conditions for elephant communities.,Elephants establish extended and enduring familial relationships as do humans.,A,,,"Nowhere does the passage state that elephant mothers are evolving new rearing strategies; B, C, and D are each directly supported by the text, so A is the unsupported claim.",CAT 2018 Slot 1
verbal,Reading Comprehension,Main Idea,medium,mcq,rc-elephants-2018,Which of the following statements best expresses the overall argument of this passage?,,Recent elephant behaviour could be understood as a form of species-wide trauma-related response.,"Elephants, like the humans they are in conflict with, are profoundly social creatures.",The relationship between elephants and humans has changed from one of coexistence to one of hostility.,The brain organisation and early development of elephants and humans are extremely similar.,A,,,"The passage centers on Bradshaw's thesis that recent elephant aggression reflects species-wide trauma from habitat loss, poaching, and social disruption; B and D are supporting details, and C only restates the opening observation rather than the argument.",CAT 2018 Slot 1
verbal,Reading Comprehension,Application,medium,mcq,rc-elephants-2018,Which of the following measures is Bradshaw most likely to support to address the problem of elephant aggression?,,Funding of more studies to better understand the impact of testosterone on male elephant aggression.,The development of treatment programmes for elephants drawing on insights gained from treating post-traumatic stress disorder in humans.,"Studying the impact of isolating elephant calves on their early brain development, behaviour and aggression.",Increased funding for research into the similarity of humans and other animals drawing on insights gained from human-elephant similarities.,B,,,"Since Bradshaw frames elephant aggression as behaviourally similar to human post-traumatic stress, treatments developed for human PTSD are the most directly analogous intervention; the other options don't address the aggression problem itself.",CAT 2018 Slot 1
verbal,Reading Comprehension,Vocabulary in Context,medium,mcq,rc-elephants-2018,"In paragraph 4, the phrase 'The fabric of elephant society... has effectively been frayed by...' is:",,An accurate description of the condition of elephant herds today.,A metaphor for the effect of human activity on elephant communities.,An exaggeration aimed at bolstering Bradshaw's claims.,An ode to the fragility of elephant society today.,B,,,"'Fabric' and 'frayed' are figurative language describing the erosion of elephant social structure caused by human activity, not a literal claim, so this is a metaphor.",CAT 2018 Slot 1
verbal,Reading Comprehension,Inference,medium,mcq,rc-elephants-2018,"In the first paragraph, Bradshaw uses the term 'violence' to describe the recent change in the human-elephant relationship because, according to her:",,There is a purposefulness in human and elephant aggression towards each other.,Elephant herds and their habitat have been systematically destroyed by humans.,Human-elephant interactions have changed their character over time.,Both humans and elephants have killed members of each other's species.,A,,,"Bradshaw explicitly ties 'violence' to 'intentionality' in the aggression on both sides, i.e. a purposefulness to the behaviour, which option A captures directly.",CAT 2018 Slot 1
lr,Data Interpretation and Logical Reasoning,Puzzles,,passage,lr-written-test-2018,"A company administers a written test comprising of three sections of 20 marks each – Data Interpretation (DI), Written English (WE) and General Awareness (GA), for recruitment. A composite score for a candidate (out of 80) is calculated by doubling her marks in DI and adding it to the sum of her marks in the other two sections. Candidates who score less than 70% marks in two or more sections are disqualified. From among the rest, the four with the highest composite scores are recruited. If four or less candidates qualify, all who qualify are recruited.

Ten candidates appeared for the written test. Their marks in the test are given in the table below (some marks are missing):

1. No two candidates had the same composite score.
2. Ajay was the unique highest scorer in WE.
3. Among the four recruited, Geeta had the lowest composite score.
4. Indu was recruited.
5. Danish, Harini, and Indu had scored the same marks in GA.
6. Indu and Jatin both scored 100% in exactly one section and Jatin's composite score was 10 more than Indu's.",written-test-marks.png,,,,,,,,,CAT 2018 Slot 1
lr,Data Interpretation and Logical Reasoning,Puzzles,hard,mcq,lr-written-test-2018,"Which of the following statements MUST be true?
1. Jatin's composite score was more than that of Danish.
2. Indu scored less than Chetna in DI.
3. Jatin scored more than Indu in GA.",,Only 2,Both 2 and 3,Only 1,Both 1 and 2,A,,,Working through the six given facts against the partially filled table pins down enough of each candidate's marks to confirm statement 2 always holds while 1 and 3 do not necessarily.,CAT 2018 Slot 1
lr,Data Interpretation and Logical Reasoning,,hard,mcq,lr-written-test-2018,Which of the following statements MUST be FALSE?,,Bala scored same as Jatin in DI,Bala's composite score was less than that of Ester,Chetna scored more than Bala in DI,Harini's composite score was less than that of Falak,D,,,"Deriving each candidate's constrained marks from the six facts shows Harini's composite score cannot be less than Falak's under any consistent assignment, making D the statement that must be false.",CAT 2018 Slot 1
lr,Data Interpretation and Logical Reasoning,Puzzles,hard,tita,lr-written-test-2018,"If all the candidates except Ajay and Danish had different marks in DI, and Bala's composite score was less than Chetna's composite score, then what is the maximum marks that Bala could have scored in DI?",,,,,,,13,0,Maximising Bala's DI marks under the distinctness and composite-score constraints against the given table caps Bala at 13.,CAT 2018 Slot 1
